gen,nevals,avg,std,min,max
0,60,0.9529965510404316,3.3394531553464972,-3.900112984972099,19.42916859435697
1,44,7.138240170322121,7.778016755932092,-4.340621651507089,26.07183693707234
2,52,9.206473484616717,7.270167529768858,-4.4156284785852415,23.79206940023037
3,48,11.615480968044231,7.069797318080534,-4.334765315515431,28.10571982860091
4,47,11.879285816432379,6.8873959851276245,-7.627700338214566,28.48920767338743
5,47,12.28612520570152,6.12811755719563,-3.5691095454736455,30.0257962698652
6,44,11.967207129792712,7.841866422917959,-8.897837713641612,31.79607275017158
7,38,13.394474401480899,6.954511493221058,-1.4494735712835922,28.64367026565118
8,46,13.666629576919512,8.69692609797755,-3.5754279789709895,37.7477278089109
9,45,14.238835431826308,9.872457315609608,-7.210645068960023,36.44052811641106
10,48,14.848228681099632,9.156084793263172,-4.206332030143049,36.44052811641106
11,42,15.416598767880355,7.877072037563027,-1.4539127261981255,34.50254118140144
12,46,13.942435852700621,7.855419992687204,-7.425581387254228,30.59693293306174
13,57,13.84495261632223,7.900096080428727,-3.2362378584353406,36.44052811641056
14,44,14.958684823363695,7.9043284172639865,1.8993235073417583,35.052466493641006
15,40,15.175501928739665,7.402200346437554,2.2661557202053815,32.35541305894178
16,48,14.693439571826152,7.422564275938345,-0.6399199202894432,35.64709331379197
17,46,13.709044187501405,9.76879264726419,-10.991313714794796,36.113984639407434
18,40,16.572640982557843,9.546562801036202,4.592374011843159,38.18371988918311
19,50,16.377070219331372,10.400129523082768,-0.2618018575969234,38.18371988918311
20,44,15.57932782073204,11.134241275572736,-11.317575422369334,38.18371988918311
21,48,15.594567995624224,10.016528922345323,-2.735240351646312,38.18371988918311
22,47,16.59967946152669,11.576498364526596,-9.005607553013288,38.18371988918412
23,48,14.545515575469905,8.988122578093277,-7.066265522440701,38.18371988918412
24,47,15.405556969419754,9.909440578200538,-0.8872832901131154,38.1837198891821
25,50,13.910660705974538,9.13575587333275,-4.7324098672687995,38.1837198891821
26,46,14.606792107752824,9.184435256441349,-6.38568078423884,38.1837198891821
27,48,14.366452188861413,8.226640929727765,7.587820056618606,38.1837198891821
28,51,12.150517202344771,5.637037413130325,-6.340627973681357,36.71317324638918
29,42,12.671355179306072,5.237097745652007,6.916400942951157,36.71317324638918
30,49,12.23471393939551,4.943472612867512,-0.8507419524628279,39.51167067576939
