gen,nevals,avg,std,min,max
0,60,1.041181143379564,6.0571946736407885,-10.794401439919756,27.838945346929556
1,47,14.76686688404249,11.667632454283735,-8.591892921677978,32.47149558233122
2,44,16.417513078989433,10.250448601186049,-6.548603154812058,31.23474693202159
3,42,16.46047026525228,10.689006364109238,-4.386405438386267,31.23474693202159
4,47,17.24629366487652,10.161631540712584,-4.705140791751975,29.18737236651407
5,52,17.860784787341267,9.893405480899768,-3.9587085940144338,33.25699674642725
6,44,20.208331524481487,8.706709675929876,-0.9512856536676215,27.838945346929556
7,46,20.069051242996064,8.721560760588291,0.9335131848055374,28.31894269807659
8,52,22.06980925585899,7.920518386720201,4.782582760777647,29.286686466857805
9,49,24.610157115565436,6.4717703078802815,2.8354033020563074,29.286686466857805
10,54,25.292580057260558,5.322745468197402,2.8354033020563074,29.286686466857805
11,44,26.96010799150239,1.5974738763350296,21.6618865324418,27.44176919319772
12,48,26.68369310411852,2.2119122861077516,15.723716112442062,27.44176919319772
13,50,26.863782427242935,1.7339602978937827,21.6618865324418,27.44176919319772
14,50,26.15951428050579,3.577583060219531,12.839399574078456,27.44176919319772
15,54,26.680653647475804,2.788918314980058,13.184219193466962,27.44176919319974
16,48,26.021429516673866,3.706170822660539,10.040557982279898,27.44176919319974
17,50,25.783265847666378,4.870001294686539,-1.4505893569719186,29.28668646685983
18,42,25.157088107733543,5.154534170195786,0.5690698285195112,27.44176919319974
19,46,26.671118171762853,1.9647822982309116,21.6618865324418,27.44176919319974
20,48,26.687573027119647,2.224935768643798,15.365687901732414,27.44176919319974
21,48,25.99471557480696,4.979273404177773,0.8900963322128504,27.44176919319974
22,48,27.34542918892108,0.7399342304175663,21.6618865324418,27.44176919319974
23,46,27.065858561644664,2.1133730147894996,12.839399574080478,27.44176919319974
24,44,27.04995957567396,2.450259075872554,10.040525574026278,29.286686471387632
25,52,27.151749006348318,2.227687325007789,10.04055798228394,27.44176919319974
26,45,26.389676781353355,4.869799648958622,0.805513536024599,29.286686466855787
27,50,27.441747626705606,7.152795957489815e-05,27.441510395301677,27.44176919319974
28,53,26.82956433881223,2.677573335459049,13.821354880340039,27.44176919319974
29,45,26.559204840999378,3.6257630902240936,10.04055798228394,29.28668646685983
30,52,27.15174900634818,2.2276873250077713,10.04055798228394,27.44176919319974
